,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
396,983063,深港通化工,0,7023.3051,-0.03,,19093.38561,350.7879830642,22115.786768239,10820.6083497551
397,983064,深港通化工（港币）,0,7730.879,-0.03,,19093.38561,433.8405165505,27351.9169304554,13382.493916393501
398,983065,深港通食品饮料,0,10054.8425,-0.0473,,5988.36663,229.26020366950002,34256.2408600465,13047.3835272318
399,983066,深港通食品饮料（港币）,0,11067.5919,-0.0473,,5988.36663,283.5394667008,42366.6317960503,16136.439090381002
400,983067,深港通半导体,0,11383.2843,-0.037,,9064.83232,136.8372244358,10375.035340594799,6311.2004251677
401,983068,深港通半导体（港币）,0,12523.0421,-0.037,,9064.83232,169.23457085479998,12831.408065561001,7805.4265856621
402,983069,深港通工业品,0,5780.3404,-0.0363,,24978.00424,555.3988322139,48234.2785376574,24369.012728445297
403,983070,深港通工业品（港币）,0,6359.2545,-0.0363,,24978.00424,686.894939513,59654.1608617967,30138.5935279405
404,983071,深港通房地产,0,3733.8604,-0.0033,,18090.33964,126.27639140129999,32107.641208637204,13128.1925940967
405,983072,深港通房地产（港币）,0,4110.1516,-0.0033,,18090.33964,156.1730026569,39709.2162023992,16236.3315230272
406,983073,深港通零售,0,4568.8326,-0.094,,4018.04902,99.4259322801,10161.3778291293,6139.425099987099
407,983074,深港通零售（港币）,0,5027.4379,-0.094,,4018.04902,122.96526011590001,12567.1099012929,7592.947365237
408,983075,深港通传媒,0,1931.9003,-0.0267,,7182.96856,68.65080892270001,6359.4558422879,3344.2300031724
409,983076,深港通传媒（港币）,0,2126.3214,-0.0268,,7182.96856,84.9043589065,7865.092632346899,4135.9960893732
410,983077,深港通运输,0,4821.6406,-0.0336,,5519.67611,48.4741032218,13968.5365993165,4934.6673264311
411,983078,深港通运输（港币）,0,5306.3122,-0.0336,,5519.67611,59.95064425060001,17275.6565813587,6102.9730608586
412,983079,深港通制药,0,4238.0774,-0.0295,,14528.19007,179.0211082436,16187.1689993078,7702.0364882562
413,983080,深港通制药（港币）,0,4664.9765,-0.0295,,14528.19007,221.4059896673,20019.5934956797,9525.5478771898
414,983081,深港通银行,0,4477.0814,-0.0399,,15672.69742,126.3708081331,42002.3585399494,22856.424140416402
415,983082,深港通银行（港币）,0,4927.8348,-0.0399,,15672.69742,156.2895258536,51946.5265389436,28267.7387699119
416,983083,深港通内房股,50,1590.6271,0.0007,,15426.86727,103.95663052569999,18978.4169821355,6672.6705000911
417,983084,深港通内房股(港币),50,1600.337,0.0007,,15426.86727,128.5690024845,23471.629979139303,8252.4511450111
418,983085,深港通节能,50,2475.0831,-0.0209,,15232.26837,366.34993719849996,32639.4128523266,17003.3875339836
419,983086,深港通节能(港币),50,2489.1621,-0.0209,,15232.26837,453.0865307013,40367.032427724705,21029.0592704226
420,983087,深港通新能源车,50,5699.9977,-0.0452,,13027.62545,543.5519044824,39092.1792222678,16693.3304351402
421,983088,深港通新能源车(港币),50,5730.9075,-0.0452,,13027.62545,672.2428332479,48347.6082849609,20645.624805403702
422,983089,深港通大湾区,50,2241.7197,-0.0382,,16258.32183,581.9625552562001,105685.0310927933,46773.275591113896
423,983090,深港通大湾区(港币),50,2254.3969,-0.0382,,16258.32183,719.7455656417999,130706.4034316669,57847.0665564407
424,983101,内地生物科技,50,3544.0686,-0.0429,,6546.85252,195.7846131685,23747.381795522597,11797.3575633908
425,983102,内地生物科技(港币),50,3580.3557,-0.0429,,6546.85252,242.13825382189998,29369.748245901203,14590.466766181102
426,983103,内地医疗器械,50,2513.9336,-0.0315,,5020.67858,140.6143087301,12229.466130921399,4847.1216781151
427,983104,内地医疗器械(港币),43,2539.6821,-0.0315,,5020.67858,173.9060727882,15124.898001321399,5994.7175361012
428,983105,内地消费电子,50,2800.5625,-0.0402,,19590.81522,287.1748551918,23775.1945613209,13547.8624364473
429,983106,内地消费电子(港币),50,2829.2408,-0.0403,,19590.81522,355.16587968629995,29404.147153244103,16755.4220245986
430,983160,低碳科技,50,3110.7356,-0.0387,,13974.71549,599.8165021682,59635.290668852,30526.9418909804
431,983161,低碳科技(港币),50,3005.273,-0.0388,,13974.71549,741.8288705422999,73754.4845539278,37754.4729272593
432,987001,港股50,50,1218.9145,-0.0412,,19018.67183,772.4387847245,178022.20084168462,60184.8619832727
433,987002,港股50（人民币）,50,1104.4837,-0.0412,,19018.67183,624.5708281647001,143943.4109345608,48663.673853814405
434,987003,港股通50,50,1196.7452,-0.0427,,18895.67577,694.4761237422,164108.6078140689,69827.5170180871
435,987004,港股通50（人民币）,50,1083.4679,-0.0427,,18895.67577,561.5325593743,132693.2970202215,56460.4354353146
436,987006,港股科技,30,1945.5792,-0.0499,,7370.49895,521.7558427676,84509.20178410481,28546.120717566202
437,987007,港股科技（人民币）,30,1761.4213,-0.0499,,7370.49895,421.87612178660004,68331.6052865736,23081.5368286025
438,987008,港股通科技,30,2147.1109,-0.0536,,6958.29907,409.08920916980003,67169.4278083871,18272.0907070639
439,987009,港股通科技（人民币）,30,1943.8767,-0.0536,,6958.29907,330.7772618584,54311.1842430275,14774.2643830106
440,987010,港股大中盘,300,996.8222,-0.0372,,74161.76156,1260.9786197684,294482.3061618604,155387.0807064071
441,987011,港股大中盘（人民币）,300,902.4683,-0.0372,,74161.76156,1019.5894825861,238109.55829329512,125641.33184677901
442,987012,港股大盘,100,967.949,-0.0382,,40920.43369,1003.2506404458001,238457.30840411672,124311.8972118816
443,987013,港股大盘（人民币）,100,876.3283,-0.0382,,40920.43369,811.1983703452,192809.4258563166,100514.87072861119
444,987014,港股中盘,200,1185.046,-0.0325,,33241.32787,257.7279793226,56024.9977577437,26562.075440005498
445,987015,港股中盘（人民币）,200,1072.876,-0.0324,,33241.32787,208.39111224090001,45300.13243697849,21477.2973385245
446,987016,港股通红利,30,1274.4484,-0.016,,21321.25068,159.0254513865,58197.4373250162,1268.1216166215
447,987017,港股通红利（人民币）,30,1320.2728,-0.0159,,21321.25068,128.5832092276,47056.7018978884,1025.3650955514
448,987018,港股通生物科技,30,1575.8079,-0.0526,,2719.37894,49.5244285705,7323.662073316899,3177.950297005
449,987019,港股通生物科技（人民币）,30,1454.5656,-0.0526,,2719.37894,40.0439672093,5921.6934426215,2569.5952716493
450,987020,内房股,30,1401.3669,0.0,,6248.00644,57.7941371633,16800.3456830973,4968.2425182179995
451,987021,内房股（人民币）,30,1451.7549,0.0,,6248.00644,46.730605486099996,13584.255508982,4017.1718529552004
452,987022,港股通文体娱乐,30,1802.7236,-0.0531,,6275.22439,333.0881559618,65222.4424580733,11532.1396084405
453,987023,港股通文体娱乐（人民币）,30,1867.5423,-0.0531,,6275.22439,269.32509026599996,52736.9102983243,9324.542123196501
454,CESAIT,中华陆股通行业龙头,50,4868.9162,-0.0348,16.0906,44913.06295,1093.6794397218,160525.9383064571,64651.1518450167
455,CESBNR,中华一带一路,100,2112.2283,-0.0242,,49174.3394,862.0347279545,154563.688419952,55157.987057657
456,CESFAC,中华A股外资优先配置,50,3043.3846,-0.0376,20.2658,29402.67547,1266.7365270793,152738.9043463684,80396.9799915296
457,CESGBA,中华粤港澳大湾区优势产业,100,2182.8712,-0.0355,,25420.72582,705.1264692291,118997.23029857929,39385.5137831811
458,CESGTH,中华港股通成长,40,5148.6366,-0.0328,,5494.17421,142.0891987881,22081.4853240001,386.6528653607
